DOI,Affiliations
10.1186/s41043-023-00363-9,"Department of Reproductive Health, Sante Medical College, Addis Ababa, Ethiopia; St. Paul’s Hospital Millennium Medical College, Addis Ababa, Ethiopia"
10.1177/0020720921996599,"Department of EEE, Nehru Institute of Engineering and Technology, Coimbatore, India; Department of EEE, Baselios Mathews II College of Engineering, Kerala, India; Department of EEE, Prasad V. Potluri Siddhartha Institute of Technology, Andhra Pradesh, Vijayawada, India; Department of EEE, KMEA Engineering College, Kerala, Aluva, India; Department of EEE, St. Joseph’s College of Engineering, Chennai, India"
10.1177/0020720920928510,"Department of Physical Education, North China University of Science and Technology, Tangshan, China; College of Information, Qingdao Hengxing University of Science and Technology, Qingdao, China"
10.1007/s10619-021-07342-1,"School of Computing, SRM Institute of Science and Technology, Chengalpattu District, SRM Nagar, Tamil Nadu, Kattankulathur, 603203, India; Department of Computer Science and Engineering, CMR Engineering College, Hyderabad, 501401, India; Department of Computer Science and Engineering, R.M.D. Engineering College, Kavaraipettai, 601206, India; Dept of MCA, CMR Institute of Technology, Karnataka, Bengaluru, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Andhra Pradesh, Vaddeswaram, India"
10.1103/PhysRevD.108.L031703,"Department of Physics, University of Virginia, Charlottesville, 22904-4714, VA, United States; Institute for Theoretical Particle Physics and Cosmology, Rwth Aachen University, Aachen, D-52056, Germany"
10.1177/0020720919891071,"Department of Information Technology, North Eastern Hill University, Meghalaya, Shillong, India; Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Tamil Nadu, Chennai, India"
10.1038/s41423-020-0424-9,"Key Laboratory of Medical Molecular Virology (MOE/NHC/CAMS), School of Basic Medical Sciences and Biosafety Level 3 Laboratory, Fudan University, Shanghai, China; Lindsley F. Kimball Research Institute, New York Blood Center, New York, NY, United States"
10.1007/s11012-022-01585-7,"MAST/EMGCU, Université Gustave Eiffel, 5 Boulevard Descartes, Marne-la-Vallée, 77454 cedex 2, France"
10.1177/0020720920940613,"Guilin University of Electronic Technology, Guilin, China"
10.1111/mbe.12343,"Department of Social Pedagogy and Self-Knowledge, L.N. Gumilyov Eurasian National University, Kazakhstan; Department of Psychology, L.N. Gumilyov Eurasian National University, Kazakhstan; Graduate School of Education, Astana International University, Kazakhstan"
10.1177/0020720920986075,"School of Logistics and E-commerce, Zhejian Wanli University, China"
10.1002/mame.202300029,"Biomaterials and Tissue Engineering Research Group, School of Dentistry, Wellcome Trust Brenner Building, St. James's University Hospital, University of Leeds, Leeds, LS9 7TF, United Kingdom; Institute of Medical and Biological Engineering, School of Mechanical Engineering, University of Leeds, Leeds, LS2 9JT, United Kingdom; Clothworkers’ Centre for Textile Materials Innovation for Healthcare, School of Design, University of Leeds, Leeds, LS2 9JT, United Kingdom"
10.1007/s11430-008-0041-4,"State Key Laboratory of Lake Science and Environment, Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences, Nanjing, 210008, China; Institute of Earth and Environment, Chinese Academy of Sciences, Xi’an, 710075, China"
10.1186/s12889-023-15544-8,"Department of Public Health, Shihezi University School of Medicine, North 2Th Road, Xinjiang, Shihezi, 832000, China; Infection Management Department, Dehong Prefecture People’s Hospital, Yunnan, Dehong, 678400, China"
10.1111/iwj.14101,"Department of Liver Surgery, West China Hospital, Sichuan University, Chengdu, China; Department of Emergency, People's Hospital of Deyang, Deyang, China"
10.1177/0020720919879390,"Department of Physical Education, North China University of Science and Technology, Tangshan, China; School of Software Engineering, Shenzhen Institute of Information Technology, Shenzhen, China"
10.1177/0020720920983514,"School of Astronautics, Northwestern Polytechnical University, Xi’an, China; Unmanned System Research Institute, Northwestern Polytechnical University, Xi’an, China"
10.1111/mbe.12345,"Faculty of Education, Academician Ye. A. Buketov Karaganda University, Karaganda, Kazakhstan"
10.1007/s12652-022-04257-2,"Anna University, Chennai, India; Department of ECE, E.G.S Pillay Engineering College, Tamil Nadu, Nagapattinam, 611002, India; Department of CSE, E.G.S Pillay Engineering College, Tamil Nadu, Nagapattinam, 611002, India"
10.1177/0020720920983504,"College of Computer and Electrical Engineering, Hunan Arts and Science University, Changde, China; School of Software Engineering, Shenzhen Institute of Information Technology, Shenzhen, China"
10.1177/0020720920931426,"School of Public Administration, Xi’an University of Architecture and Technology, Xi’an, China; School of Management, Xi’an University of Architecture and Technology, Xi’an, China"
10.1177/0020720920983516,"Department of Computer Science and Engineering, Xi’an Jiaotong-Liverpool University, Suzhou, China; Department of Computer Science and Engineering, Liverpool University, Liverpool, United Kingdom"
10.1002/ejic.202200691,"College of Nuclear Science and Technology, Harbin Engineering University, Heilongjiang, Harbin, 150000, China; China Institute for Radiation Protection, Shanxi, Taiyuan, 030006, China; Yantai Research Institute and Graduate School, Harbin Engineering University, Shandong, Yantai, 264006, China"
10.1007/s10029-023-02765-4,"Department of General Surgery, Shaanxi Provincial People’s Hospital, Xi’an, 710068, China; Yan’an University, Yan’an, China"
10.1007/s10257-020-00478-0,"College of Economics, Shenzhen University, Guangdong, Shenzhen, 518060, China; College of Finance and Economics, Shandong University of Science and Technology, Shandong, Tai’an, 271000, China"
10.1016/j.foodchem.2023.135691,"Institute for Global Health Innovations, Duy Tan University, Da Nang, 550000, Viet Nam; Department of Multifunctional Agriculture, Faculty of Agriculture and Technology, University of South Bohemia, České Budějovice, Czech Republic; African Genome Center, Mohammed VI Polytechnic University, Lot 660, Hay Moulay Rachid, Ben Guerir, 43150, Morocco; Pharmacognosy Department, College of Pharmacy, Cairo University, Kasr El Aini St., P.B. 11562, Cairo, Egypt"
10.1038/s41429-023-00598-y,"Department of Chemistry, Federal University Lokoja, P.M.B., Kogi State, Lokoja, 1154, Nigeria; Department of Chemistry, Ahmadu Bello University, Kaduna State, Zaria, 1044, Nigeria"
10.1177/0020720920988488,"School of Support, Rocket Force University of Engineering, Xi’an, China"
10.1097/MPH.0000000000002632,"Tianjin Medical University, China; Department of Neurosurgery, Tianjin Institute of Pediatrics, The Children's Hospital of Tianjin, Tianjin, China; Department of Pediatric, Maternal and Child Health Hospital of Tangshan, Tangshan, China; Department of Pediatric, The First Affiliated Hospital of Hebei North University, Zhangjiakou, China"
10.1016/j.enganabound.2023.01.002,"Science and Technology College, Zhengzhou Preschool Education College, Henan, Zhengzhou, 450000, China; School of Preschool Education, Zhengzhou Preschool Education College, Henan, Zhengzhou, 450000, China; Department of Civil Engineering, K.N. Toosi University of Technology, Valiasr Ave., P.O. Box 15875-4416, Tehran, Iran"
10.1007/s13204-022-02363-3,"School of Economics and Management, Nantong University, Jiangsu, Nantong, 226019, China; Nanchang Institute of Technology, Nanchang, 330044, China; Department of Mathematic, College of Science, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Department of Mathematics, Al-Aflaj College of Science and Humanities Studies, Prince Sattam Bin Abdulaziz University, Al-Aflaj, 710-11912, Saudi Arabia; Department of Mathematics, Suez Faculty of Science, Suez University, Suez, Egypt; School of Mathematics and Statistics, Xuzhou, 221018, China"
10.1177/0020720920931432,"School of International Trade and Economics, Shandong University of Finance and Economics, Jinan, China; School of Economics, Shandong Normal University, Jinan, China"
10.1007/s11299-021-00279-z,"Department of Russian Language and Speech Communication, Kuban State Agrarian University, Krasnodar, Russian Federation; Department of Marketing and Business Communications, Federal State Budgetary Educational Institution of Higher Education “Kuban State Technological University”, Krasnodar, Russian Federation; Department of Social Technologies and Mass Communications in Sport, Lesgaft National State University of Physical Education, Sport and Health, Saint Petersburg, Russian Federation; Department of Marketing, State University of Management, Moscow, Russian Federation; Department Sociology and Advertising Communications, Russian State University named by A.N. Kosygina (Technology. Design. Art), Moscow, Russian Federation"
10.1007/s10257-021-00506-7,"School of Economics, Xi’An University of Finance and Economics, Shaanxi, Xi’An, 710100, China"
10.1038/s41467-023-37096-6,"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, 02215, MA, United States; Department of Medicine, Brigham and Women’s Hospital and Harvard Medical School, Boston, 02115, MA, United States; Department of Radiation Oncology, Dana-Farber Cancer Institute and Harvard Medical School, Boston, 02215, MA, United States; Department of Surgical Oncology and Harvard Medical School, Brigham and Women’s Hospital, Boston, 02115, MA, United States; Department of Medicine, Division of Hematology-Oncology, Beth Israel Deaconess Medical Center and Harvard Medical School, Boston, 02215, MA, United States; Hale Family Center for Pancreatic Cancer Research, Dana-Farber Cancer Institute, Boston, 02215, MA, United States; Department of Medicine, Division of Gastroenterology, Abramson Family Cancer Research Institute, University of Pennsylvania Perelman School of Medicine, Philadelphia, 19104, PA, United States; Center for DNA Damage and Repair, Dana-Farber Cancer Institute, Boston, 02215, MA, United States; Bayer Pharmaceuticals, Cambridge, MA, United States; Arpeggio, Boulder, CO, United States; Sanofi, Cambridge, MA, United States"
10.1049/cmu2.12530,"Department of Information and Communication Technology, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Information Technology, Vishwakarma Institute of Information Technology, Maharashtra, Pune, India; Artificial Intelligence and Data Science, D. Y. Patil College of Engineering and Innovation, Talegaon, India; Department of Computer Engineering, Al-Farabi Kazakh National University, Almaty, Kazakhstan; Department of ECE, Hindustan Institute of Technology and Science, Chennai, India; Senior Engineering Lead, Persistent Systems Limited, Nagpur, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Hydraulic and Water Resources Engineering, Arba Minch University, Arba Minch, Ethiopia"
10.1186/s12871-023-02182-1,"Department of Anesthesiology and Resuscitology, Okayama University Hospital, 2-5-1, Shikata-Cho, Kita-Ku, Okayama, 700-8558, Japan"
10.1177/0020720920930347,"Shandong Women’s University, China"
10.1007/s10725-023-01006-z,"Institute of Bioinformatics and Biotechnology, Savitribai Phule Pune University, Ganeshkhind Road, Maharashtra, Pune, 411007, India; National Institute of Plant Genome Research, New Delhi, 110067, India; Department of Life Sciences, Presidency University, 86/1 College Street, West Bengal, Kolkata, 700073, India; Department of Microbiology, School of Biosciences, Periyar University, Tamilnadu, Salem, 636011, India; Post Graduate Department of Botany, SNJB’s KKHA Arts SMGL Commerce and SPHJ Science College Chandwad (Nashik) Maharashtra, Nashik, India; Chemical and Biochemical Processing Division, ICAR-Central Institute for Research on Cotton Technology, Mumbai, 400019, India; School of Biological and Environmental Sciences, Shoolini University of Biotechnology and Management Sciences, Himachal Pradesh, Solan, 173229, India; Department of Biomedical Sciences, School of Bio Sciences and Technology, Vellore Institute of Technology (VIT), Tamil Nadu, Vellore, 632014, India; Department of Botany, Rashtrapita Mahatma Gandhi Arts and Science College Nagbhid (M.S.), Nagbhid, 441205, India; Organic Health Care Ltd., Dhaka, Bangladesh; Department of Zoology, Dr. Patangrao Kadam Mahavidhyalaya, Ramanandnagar (Burli), Maharashtra, Sangli, Affiliated, 416308, India; Shivaji University, Kolhapur, India; Department of Biotechnology, School of Engineering and Technology, Sharda University, Greater Noida, UP, Noida, 201310, India; Department of Biotechnology Engineering and Food Technology, Chandigarh University, Mohali, 140413, India; Department of Biotechnology, School of Applied & Life Sciences (SALS), Uttaranchal University, Dehradun, 248007, India; School of Bioengineering & Biosciences, Lovely Professional University, 144411, Phagwara, India; ICAR-Central Potato Research Institute, Himachal Pradesh, Shimla, 171001, India"
10.1007/s13204-021-02183-x,"College of Civil Engineering and Architecture, Guangxi University, 100 University Road, Guangxi, Nanning, 530004, China; Chemical Engineering Department, College of Engineering, King Saud University, P.O.Box 800, Riyadh, 11421, Saudi Arabia; School of Chemical Engineering, Yeungnam University, 280-Daehak-Ro, Gyeongsan, 712-749, South Korea; Department of Mathematical and Computer Modeling, Al-Farabi Kazakh National University, Almaty, Kazakhstan; Department of Mathematical and Computer Modeling, Kazakh-British Technical University, Almaty, Kazakhstan; Department of Mathematics, Al-Aflaj College of Science and Humanities Studies, Prince Sattam Bin Abdulaziz University, Al-Aflaj, 710-11912, Saudi Arabia; Department of Mathematics, Suez Faculty of Science, Suez University, Suez, Egypt"
10.1177/0020720921996589,"School of Aeronautics and Astronautics, University of Electronic Science and Technology of China, Chengdu, China; Sichuan Tengden Technology Co., Ltd, Chengdu, China"
10.1007/s00264-023-05798-7,"Clinical College of Orthopedics, Tianjin Medical University, Tianjin, 300070, China; Tianjin Hospital, Tianjin, 300211, China; Tianjin Key Laboratory of Orthopaedic Biomechanics and Medical Engineering, Tianjin, 300050, China"
10.1177/0020720920940609,"Vignan Foundation for Science &Technological Research University, Vadlamudi, Guntur District A.P, India; School of CIS, University of Hyderabad, Gachibowli, Telangana State, India; Department of Material Science and Technology, University of Technology, Osmania University, Hyderabad, India"
10.1177/0020720921996595,"School of Electronic and Information Engineering, Hebei University of Technology, Tianjin, China; School of Information Engineering, Guangdong University of Technology, Guangzhou, China; R & D Department, Guangzhou Hison Computer Technology Co. Ltd, Guangzhou, China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, Tianjin, China"
10.1007/s12652-022-04252-7,"Department of E.E.E., Sathyabama Institute of Science and Technology, Chennai, India; Department of C.S.E., Sathyabama Institute of Science and Technology, Chennai, India"
10.1007/s13204-022-02362-4,"College of Physics and Electronic Information Engineering, Minjiang University, Fuzhou, 350108, China; Department of Mechanical Engineering, Faculty of Engineering, Jazan University, Jazan, 82822, Saudi Arabia; Department of Sciences and Technology, Ranyah University Collage, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Department of Mathematics, Al-Aflaj College of Science and Humanities Studies, Prince Sattam bin Abdulaziz University, Al-Aflaj, 710-11912, Saudi Arabia; Department of Mathematics, Suez Faculty of Science, Suez University, Suez, Egypt"
10.1177/00207209211004224,"School of Health Services Management, Xi’an Medical University, Xi’an, China"
10.1177/0020720920940606,"School of Public Administration, Xi’an University of Architecture and Technology, Xi’an, China; School of Management, Xi’an University of Architecture and Technology, Xi’an, China"
10.3390/pharmaceutics15051565,"Institute of Congenital Metabolic Diseases, Paracelsus Medical University, Salzburg, 5020, Austria; European Reference Network for Hereditary Metabolic Diseases, MetabERN, Udine, 33100, Italy; Stem Cell and Neurotherapies, Division of Cell Matrix Biology and Regenerative Medicine, Faculty of Biology, Medicine and Health, University of Manchester, Manchester, M13 9PL, United Kingdom; Department of Genetics, Medical Genetics Service and Biodiscovery Laboratory, Portal Hospital de Clínicas de Porto Alegre, Universidade Federal do Rio Grande do Sul (UFRGS), Casa dos Raros, Porto Alegre, 90610-261, Brazil; Department of Child Neurology, Epilepetology and Social Pediatrics, Center of Rare Diseases, University Hospital Giessen/Marburg, Giessen, 35392, Germany; Regional Coordinating Center for Rare Diseases, University Hospital Udine, Udine, 33100, Italy; Department of Neurology, Christian Doppler University Hospital, Paracelsus Medical University, Salzburg, 5020, Austria; Department of Pediatric Cardiology, University Hospital Mainz, Mainz, 55131, Germany; Team Biostatistics and Big Medical Data, IDA Lab Salzburg, Paracelsus Medical University, Salzburg, 5020, Austria; Research and Innovation Management, Paracelsus Medical University, Salzburg, 5020, Austria"
10.1007/s11042-019-7420-z,"Guangxi Key Laboratory of Precision Navigation Technology and Application, Guilin University of Electronic Technology, Guangxi, Guilin, China; Guilin University of Electronic Technology, Guangxi, Guilin, China"
10.3847/1538-4365/acb650,"Advanced Science and Technology Research Institute, Beibu Gulf University, Guangxi, Qinzhou, 535011, China; College of Mechanical and Marine Engineering, Beibu Gulf University, Guangxi, Qinzhou, 535011, China; College of Electronics and Information Engineering, Beibu Gulf University, Guangxi, Qinzhou, 535011, China"
10.1016/j.mycmed.2023.101387,"Sorbonne Université, Inserm, Centre de Recherche Saint-Antoine, CRSA, AP-HP, Hôpital Saint-Antoine, Service de Parasitologie-Mycologie, Paris, F-75012, France; Institute of Microbiology, University of Lausanne and University Hospital Center, Lausanne, Switzerland; Laboratoire Ecologie et Biologie des Interactions (EBI), University Poitiers, UMR CNRS 7267, Poitiers, F-86000, France"
10.1007/s11042-019-7198-z,"College of Electronic Infermation and Automation, Institute of Applied Physics, A’ba Teacher’s University, Si Chuan, Wen Chuan, 623002, China"
10.1177/0020720920930350,"Ma’anshan Teacher’s College, Ma’anshan, China"
10.1186/s13034-022-00550-2,"University of Jaen, Jaen, Spain; Miguel Hernandez University, Elche, Spain; Universitat Rovira I Virgili, Tarragona, Spain; University of Miami, Miami, United States; Department of Psychology, Division of Clinical Psychology, University of Jaen, Campus de Las Lagunillas S/N, Jaen, C-5, Spain; Universitat Oberta de Catalunya, Barcelona, Spain"
10.1177/0020720920940598,"Institute of Art and Design, Shandong Women’s University, Jinan, China"
10.1177/0020720920923305,"Xi’an High-tech Research Institute, Xi’an, China; Engineering University of People’s Armed Police, Xi’an, China"
10.1177/00207209211002085,"Department of Mathematics, Cangzhou Normal University, Cangzhou, China"
10.1038/s41372-023-01641-4,"Boston Combined Residency Program in Pediatrics, Boston Medical Center and Boston Children’s Hospital, Boston, MA, United States; Department of Pediatrics, Boston Medical Center, Boston, MA, United States; Department of Epidemiology, Boston University School of Public Health, Boston, MA, United States"
10.1177/00207209211002077,"Department of Mechanical and Electrical Engineering, Xijing University, Xi’an, China; Department of Electrical and Electronic Engineering, Wuhan Institute of Shipbuilding Technology, Wuhan, China"
10.1007/s10936-022-09931-2,"Department of Pedagogy and Psychology, Zhetysu State University named after I. Zhansugurov, 187а Zhansugurov Str, Taldykorgan, 040009, Kazakhstan; Department of Foreign Languages and Translation Studies, Zhetysu State University named after I. Zhansugurov, 187а Zhansugurov Str, Taldykorgan, 040009, Kazakhstan"
10.1007/s11042-019-7290-4,"School of Management, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, 714055, China; Weinan Normal University, Shaanxi, Weinan, 714099, China"
10.1177/0020720920930351,"School of Management, Xi’an University of Architecture and Technology, Xi’an, China"
10.1177/0020720919845152,"EEE, Sri Sai Ram Institute of Technology, Anna University, Chennai, India; EEE, St Joseph’s Institute of Technology, Chennai, India"
10.1007/s11240-023-02572-w,"Department of Biotechnology, School of Bioengineering and Biosciences, Lovely Professional University, Punjab, Phagwara, 144411, India; School of Basic and Applied Sciences, Raffles University, Rajasthan, Alwar, India; Department of Biotechnology, IIIM Jammu, CSIR, Jammu & Kashmir, Jammu, India; Department of Plant Physiology, Institute of Agricultural Sciences, Banaras Hindu University, UP, Varanasi, 221005, India; Department of Life Sciences, Presidency University, 86/1 College street, West Bengal, Kolkata, 700076, India"
10.1007/s10639-022-11257-4,"Muş, Turkey; Atatürk Üniversity, Erzurum, Turkey"
10.1177/00207209211005261,"Mental Health Education Centre, Shaanxi University of Science and Technology, Xi’an, China; School of Marxist, Shaanxi University of Science and Technology, Xi’an, China"
10.1007/s11042-019-7374-1,"College of Physical Education, Taiyuan University of Technology, Shanxi Province, Taiyuan City, 030024, China"
10.1177/0020720920928536,"School of Management, Xi’an University of Architecture and Technology, Xi’an, China"
10.1097/HJH.0000000000003467,"Department of Nephrology, Third Affiliated Hospital of Chongqing Medical University (Gener Hospital), Chongqing, 401120, China; Department of Nephrology, Rheumatism and Immunology, Jiulongpo District People's Hospital of Chongqing, China; Department of Nephrology, Shapingba Hospital of Chongqing University, Chongqing, China"
10.1177/0020720920983708,"School of Foreign Studies, Xi’an University, Shaanxi, China; College of Humanities, Jiangxi University of TCM, Jiangxi, China"
10.1177/0020720920984000,"Academy of Hi-Tech Research, Hunan Institute of Traffic Engineering, Hengyang, China; School of Software Engineering, Shenzhen Institute of Information Technology, Shenzhen, China; School of Economics and Management, Yanshan University, Qinhuangdao, China"
10.1177/0020720920931434,"School of Management, Xi’an University of Architecture and Technology, Xi’an, China"
10.1007/978-3-031-12851-6_56,"Structural and Geotechnical Engineering Department, Harpaceas srl, Viale Richard 1, Milan, 20143, Italy"
10.1007/s12010-022-04080-7,"Tianjin Key Laboratory of Aqua-ecology and Aquaculture, Tianjin Chemical Experiment Teaching Demonstration Center, College of Basic Science, Tianjin Agriculture University, Tianjin, 300392, China; Biccamin (Tianjin) Biotechnology R & D Stock Co., Ltd, Tianjin, 300393, China; School of Life Science and Technology, Xinxiang Medical University, Xinxiang, 453003, China"
10.1186/s12906-022-03629-7,"Pharmacological Sciences Research Lab, Department of Pharmacy, Faculty of Biological Sciences, Quaid-i-Azam University, Islamabad, Pakistan; Department of Medical Oncology, Cancer Center, West China Hospital, West China Medical School, Sichuan University, Sichuan, China; Division of Radiation Physics, Cancer Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China; Faculty of Pharmaceutical Sciences, Abasyn University, KPK, Peshawar, Pakistan; Department of Health and Biological Sciences, Abasyn University, Peshawar, 25000, Pakistan; Department of Pharmacy, Faculty of Biological Sciences, Quad-i-Azam University, Islamabad, Pakistan; Department of Chemistry, Quaid-I-Azam University, Islamabad, 45320, Pakistan"
