DOI,Institution
10.1017/s0317167100014797,"Parkinson's Clinic of Eastern Toronto and Movement Disorders Center, Toronto, ON, Canada; Mashad University of Medical Sciences, Iran; University Medical Center of Utrecht, Netherlands"
10.1109/icbbe.2011.5780741,"Department of Environmental Science and Engineering, Chengdu University of Information Technology, Chengdu Sichuan 610225, China"
10.3366/jbctv.2012.0098,"Department of Theatre, Film and Television Studies, Aberystwyth University, United Kingdom"
10.1080/0953531022000024824,"SYO, Steunpunt O and O Statistieken, Helsinki FIN-00701, Finland"
10.3923/jas.2012.186.190,"Department of Mathematics, ICDEOL, Himachal Pradesh University, Summer Hill Shimla-171005, India"
10.1115/1.4007299,"Department of Electrical and Computer Engineering, University of Alabama, Tuscaloosa, AL 35401, 1005 14th Street #7C, United States"
10.1109/icbbe.2011.5780233,"Hubei Key Laboratory of Genetic Regulation and Integrative Biology, College of Life Science, Central China Normal University, Wuhan, 430079, China"
10.1166/jnn.2014.8695,"Department of Metallurgical and Materials Engineering, Istanbul Technical University, Maslak, Istanbul 34469, Turkey"
10.1109/PACCS.2011.5990344,"Department of Physical Education, Henan Institute of Science and Technology, Xinxiang Henan, 453003, China"
10.3923/jas.2006.1818.1821,"Department of Statistics, Shahjalal University of Science and Technology, Sylhet-3114, Bangladesh; Department of Mathematics, Shahjalal University of Science and Technology, Sylhet-3114, Bangladesh"
10.1109/wicom.2011.6040272,"School of Public Management, Beihang University, Beijing 100191, China; School of Economics and Management, Beihang University, Beijing 100191, China"
10.1109/PACCS.2011.5990204,"School of Management, Tianjin University, Tianjin, China; School of Economic, Tianjin Polytechnic University, Tianjin, China"
10.1109/icbbe.2011.5781342,"Key Laboratory of Regional Environment and Eco-Remediation, Shenyang University, Ministry of Education, Shenyang, China; School of Resources and Civil Engineering, Northeast University, Shenyang, China"
10.1109/icbbe.2011.5781405,"Key Laboratory of Regional Environment and Eco-Remediation, Shenyang University, Ministry of Education, Shenyang, China; Liaoning Academy of Environmental Sciences, Shenyang, China; Institute of Applied Ecology, Chinese Academy of Sciences, Shenyang, China"
10.1016/j.annemergmed.2004.09.036,"Emergency Department, Naval Medical Center San Diego, San Diego, CA, United States; Emergency Department, Scripps Mercy Hospital, San Diego, CA, United States"
10.1017/CCOL0521822424.012,"Catholic University, Leuven, Belgium"
